2014/10/6,Lakers,,Nick Young,thumb/ligament/,surgery/torn/
2014/10/7,Suns,,Alex Len,finger/,fracture/
2014/10/9,Thunder,,Mitch McGary,foot/,fracture/
2014/10/11,Wizards,,Bradley Beal,wrist/,surgery/fracture/
2014/10/13,Bucks,,Johnny O'Bryant III,knee/,sprained/
2014/10/13,Thunder,,Kevin Durant,toe/,fracture/
2014/10/14,Pistons,,Jodie Meeks,back/,fracture/
2014/10/16,Thunder,,Kevin Durant,toe/,surgery/fracture/
2014/10/23,Lakers,,Steve Nash,back/,injury/
2014/10/23,Suns,,T.J. Warren,thumb/,fracture/
2014/10/25,Magic,,Victor Oladipo,facial/,surgery/fracture/
2014/10/28,Lakers,,Julius Randle,tibia/leg/,fracture/
2014/10/29,Lakers,,Julius Randle,tibia/leg/,surgery/fracture/
2014/11/1,Thunder,,Russell Westbrook,hand/,surgery/fracture/
2014/11/8,Celtics,,Rajon Rondo,hand/,surgery/
2014/11/17,Lakers,,Ryan Kelly,hamstring/,torn/
2014/11/18,Knicks,,Cleanthony Early,knee/,injury/
2014/11/19,Timberwolves,,Ronny Turiaf,hip/,injury/
2014/11/25,Timberwolves,,Kevin Martin,wrist/,surgery/fracture/
2014/11/29,Raptors,,DeMar DeRozan,groin/tendon/,torn/
2014/12/7,Pacers,,Ian Mahinmi,foot/,plantar fasci/torn/
2014/12/10,Heat,,Josh McRoberts,knee/,torn/
2014/12/13,Bulls,,Doug McDermott,knee/,surgery/torn/
2014/12/13,Bucks,,Damien Inglis,ankle/,injury/
2014/12/14,Heat,,Chris Bosh,calf/,strained/
2014/12/16,Bucks,,Jabari Parker,knee/,torn/
2014/12/16,Timberwolves,,Ronny Turiaf,hip/,surgery/
2014/12/21,Nuggets,,Danilo Gallinari,knee/,torn/
2014/12/22,Nuggets,,Danilo Gallinari,knee/,surgery/torn/
2014/12/23,Heat,,Josh McRoberts,knee/,surgery/torn/
2014/12/26,Cavaliers,,Anderson Varejao,Achilles/tendon/,surgery/torn/
2014/12/29,Kings,,Eric Moreland,shoulder/,injury/
2014/12/31,Hornets,,Al Jefferson,muscle/groin/,strained/
2014/12/31,Jazz,,Alec Burks,shoulder/,surgery/
2015/1/2,Jazz,,Rodney Hood,heel/,injury/
2015/1/3,Jazz,,Enes Kanter,ankle/,sprained/
2015/1/5,Bucks,,Jabari Parker,knee/,surgery/torn/
2015/1/6,Lakers,,Julius Randle,foot/leg/,surgery/
2015/1/8,Nets,,Deron Williams,rib/,fracture/
2015/1/17,Bucks,,Kendall Marshall,knee/,torn/
2015/1/17,Bucks,,Kendall Marshall,knee/,surgery/torn/
2015/1/22,Lakers,,Kobe Bryant,shoulder/rotator/,torn/
2015/1/23,Nets,,Mirza Teletovic,lung/,blood clot/
2015/1/24,Pistons,,Brandon Jennings,Achilles/,torn/
2015/1/25,Timberwolves,,Robbie Hummel,hand/,fracture/
2015/1/28,Hornets,,Kemba Walker,knee/,surgery/torn/
2015/1/28,Lakers,,Kobe Bryant,shoulder/rotator/,surgery/torn/
2015/2/6,Suns,,Alex Len,ankle/,sprained/
2015/2/8,Clippers,,Blake Griffin,elbow/,injury/
2015/2/9,Clippers,,Blake Griffin,elbow/,surgery/
2015/2/9,Thunder,,Steven Adams,finger/,surgery/fracture/
